category,mean_name_similarity,precision_at_k,relevant_percentage
DryIrons,0.78427386,0.9666666666666667,0.9666666666666667
ElectricHeaters,0.7507282,0.41,0.41
FanHeaters,0.7432132,0.5149999999999999,0.515
HDMICables,0.7653358,0.6761904761904763,0.6761904761904762
In-Ear,0.78701097,0.768627450980392,0.7686274509803922
InstantWaterHeaters,0.7520879,0.7521739130434785,0.7521739130434782
LintShavers,0.73265916,0.7636363636363637,0.7636363636363637
Mice,0.7517125,0.7125,0.7125
MixerGrinders,0.7692933,0.8000000000000003,0.8
RemoteControls,0.7383942,0.6721040189125295,0.6730769230769231
SmartTelevisions,0.81533086,0.9716666666666663,0.9716666666666667
SmartWatches,0.8293168,0.851851851851852,0.8481973434535104
Smartphones,0.81495357,0.8250000000000002,0.8238993710691824
USBCables,0.81418955,0.9118055555555561,0.9116541353383458
